title,date,authors,keyword,Unnamed: 4
FET thermal converters,1998,W.G. Kurten Ihlenfeld,"transfer standards,voltage measurement,wattmeters,power measurement,calibration,bridge circuits,feedback amplifiers,convertors,voltage multipliers,equivalent circuits,Green's function methods,MOSFET circuits",
Hysteretic and reversible anomalies of resistance alloys,1998,P. Warnecke,"measurement standards,electric resistance measurement,resistors,alloys,magnetic impurities,electrical resistivity,hysteresis",
Development of a precision one ohm resistance standard,1998,A.C. Grossenbacher,"transfer standards,electric resistance measurement,resistors,quantum Hall effect",
New generation of electrical resistance standards,1998,V.A. Zaslavski,"transfer standards,electric resistance measurement,quantum Hall effect,measurement uncertainty",
Effect of temporary temperature change on drift rate of KRISS legal ohm,1998,Kwang Min Yu,"measurement standards,electric resistance measurement,measurement uncertainty,resistors,thermal stresses,thermal stability,calibration",
"Observation of whispering gallery"" modes in dielectric rod resonators""",1998,C.D. Langham,"dielectric resonator oscillators,microwave measurement,mode matching,sapphire,frequency stability,Q-factor",
A microwave interferometer system for humidity measurement,1998,A. Carullo,"humidity sensors,humidity measurement,radiowave interferometers,microwave measurement,permittivity measurement,circular waveguides,waveguide transitions",
Quasi-optical waveguide W-band spectrometer for precision dielectric measurement of absorbing materials,1998,M.N. Afsar,"microwave measurement,microwave measurement,microwave measurement,dielectric loss measurement,dielectric loss measurement,dielectric loss measurement,permittivity measurement,permittivity measurement,permittivity measurement,bridge instruments,backward wave oscillators,waveguides,microwave spectrometers,electromagnetic wave transmission,elemental semiconductors,elemental semiconductors,silicon,germanium,millimetre wave measurement,millimetre wave spectroscopy",
Atmospheric inhomogeneities effects on microwave distance measurements,1998,R. Laffourcade,"distance measurement,radar applications,microwave measurement,remote sensing by radar,atmospheric techniques,meteorological radar,atmospheric turbulence,troposphere,compensation",
Measurement of magnetic material properties at microwave frequencies,1998,L. Brunetti,"microwave reflectometry,magnetic permeability measurement,giant magnetoresistance,S-parameters,network analysers,soft magnetic materials,electric impedance measurement",
Free-space transmission method for wide-band microwave wheat permittivity measurements,1998,S. Trabelsi,"permittivity measurement,microwave reflectometry,time-domain reflectometry,agriculture,lens antennas,horn antennas,network analysers",
Waveguide-junction test cells,1998,A.G. Yushchenko,"microwave measurement,waveguide junctions,rectangular waveguides,eigenvalues and eigenfunctions,boundary-value problems,waveguide theory",
"High accuracy, high frequency power multimeter MF100",1998,M. Stojanovic,"digital multimeters,power measurement,power meters,analogue-digital conversion,multiplying circuits",
Power standard based on a high precision power-factor meter,1998,D. Slomovitz,"measurement standards,power factor measurement,low-pass filters,harmonic distortion,power meters",
A high-frequency thermal power comparator,1998,I. Budovsky,"transfer standards,power measurement,calibration,voltage dividers,analogue multipliers,comparators (circuits),differential amplifiers,measurement uncertainty,measurement errors",
A watt meter standard for the audio frequency range,1998,S. Svensson,"wattmeters,power measurement,calibration,measurement standards,measurement uncertainty,digital voltmeters,signal sampling,discrete Fourier transforms,voltage dividers,frequency response",
Programmable 1 volt DC voltage standard,1998,C.J. Burroughs,"voltage measurement,measurement standards,superconductor-normal-superconductor devices,superconducting integrated circuits,digital-analogue conversion,computerised instrumentation",
Properties of Shapiro steps in pulse-driven non-hysteretic Josephson junctions,1998,A. Sosso,"measurement standards,voltage measurement,superconducting junction devices,Josephson effect",
Direct measurement of standard cells with a Josephson junction array voltage standard,1998,A. Katkov,"cellular arrays,integrated circuit measurement,measurement uncertainty,voltage measurement,voltage measurement,calibration,measurement standards,superconducting junction devices,function generators",
A fuzzy-based filter for data processing of JAVS measurement,1998,T.Y. Sim,"measurement standards,calibration,voltage measurement,fuzzy logic,fuzzy set theory,measurement uncertainty,uncertainty handling,filtering theory,learning (artificial intelligence),superconducting junction devices",
The 10 volt fixed frequency Josephson voltage standard at UME-Ulusal Metroloji Enstitusu,1998,S. Selcik,"voltage measurement,transfer standards,superconducting junction devices,phase locked oscillators,Gunn oscillators,phase noise,measurement uncertainty",
"Josephson series array voltage standard at National Physical Laboratory, India",1998,V.N. Ojha,"measurement standards,voltage measurement,superconducting junction devices,calibration",
An isolated 1 V Josephson voltage reference,1998,I.A. Robinson,"voltage measurement,measurement standards,superconducting junction devices,shielding",
Asia/Pacific Metrology Program (APMP) comparison of DC voltage-1996/97,1998,L.X. Liu,"transfer standards,voltage measurement,Zener diodes,calibration",
Design and verification of a 24 kA calibration head for a DCCT test facility [for LHC],1998,G. Fernqvist,"colliding beam accelerators,storage rings,synchrotrons,particle accelerator accessories,calibration,electric current measurement,current transformers,current comparators,accelerator magnets,accelerator control systems,electric current control,test facilities",
An approach to DC voltage references long term history and quality evaluation,1998,A. Sebela,"measurement standards,voltage measurement,measurement uncertainty,Zener diodes,sampling methods",
Analysis and calculation of systemic error of voltage difference method in the calibration for heavy DC sensors,1998,Shiyan Ren,"calibration,electric current measurement,current comparators,measurement errors,electric sensing devices",
Improvement of the DC-voltage accuracy in production-line,1998,H. Yoshida,"pulse width modulation,voltage measurement,calibration,superconducting junction devices,low-pass filters,production testing,passive filters",
Development of a mercury battery voltage standard operated at 0/spl deg/C,1998,F. Liefrink,"voltage measurement,transfer standards,primary cells,stability,mercury (metal)",
ECG reference data set-a novel measurement standard,1998,R. Bousseljot,"electrocardiography,measurement standards,relational databases",
Design of flux-gate magnetometer with tiny probe,1998,Zhang Wei,"fluxgate magnetometers,probes,magnetic field measurement",
A sensor for electric and magnetic-field measurements,1998,V. David,"magnetic field measurement,electric field measurement,magnetic shielding,electric sensing devices,magnetic sensors",
Magnetometer calibration set-up controlled by nuclear magnetic resonance,1998,K. Weyand,"magnetometers,calibration,nuclear magnetic resonance,solenoids",
Response of Hall probes in the ultra-acoustic frequency range,1998,L. Callegaro,"Hall effect transducers,ultrasonic transducers,magnetic sensors,ultrasonic measurement",
A comparative study on the calibration of pole caps for a magnetic microbalance,1998,A. Rais,"magnetic sensors,microbalances,calibration,Faraday effect,magnetic susceptibility,measurement errors,force measurement",
Technical objects external magnetic fields automatic measuring system,1998,V.V. Degtyaryov,"magnetic field measurement,computerised instrumentation,measurement errors,modules,interference suppression,electric potential",
Bismuth germanate and lithium niobate in DC and extra-low-frequency electrooptic sensor,1998,M. Bordovsky,"electric field measurement,electro-optical devices,electric sensing devices,bismuth compounds,lithium compounds,electro-optical effects,electro-optical effects",
Precision holographic measurements of 64- meter reflector antenna in Medvezhy Ozera,1998,A.V. Kalinin,"radiotelescopes,holography,reflector antennas,mirrors,antenna testing,antenna radiation patterns,antenna accessories",
"Intercomparison for RF power in 3,5 mm coaxial line up to 26 GHz",1998,J. Ascroft,"microwave measurement,power measurement,coaxial cables,measurement standards",
International comparison of power measurements at 33 GHz,1998,J. Achkar,"power measurement,microwave measurement,measurement standards,waveguide components,thermistors",
A broadband microwave radiometer using correlation technique,1998,H. Nakano,"radiometers,microwave measurement,correlation methods,electric noise measurement,waveguide couplers,signal processing",
Effect of substrate thickness and permittivity on the characteristics of rectangular microstrip antenna,1998,S. Fatima Farida,"microstrip antennas,substrates,permittivity,dielectric losses,antenna radiation patterns",
Level analysis and control of electromagnetic radiation from microwave oscillators,1998,A.N. Nikitenko,"microwave tubes,electromagnetic compatibility,plasma oscillations",
A highly linear frequency ramp generator based on a fractional divider phase-locked-loop,1998,T. Musch,"ramp generators,frequency synthesizers,phase locked loops,FM radar,CW radar,radar equipment",
The measurement of modulated radiosignal parameters,1998,Y. Pavlenko,"measurement theory,frequency modulation,amplitude modulation,demodulation,heterodyne detection,spectral analysis,signal sampling,harmonic analysis,electric distortion measurement",
A new current-comparator-based high-voltage low-power-factor wattmeter,1998,E. So,"wattmeters,power measurement,current comparators,voltage dividers,high-voltage techniques",
A rigorous complexity analysis of the (1+1) evolutionary algorithm for linear functions with Boolean inputs,1998,S. Droste,"genetic algorithms,computational complexity,randomised algorithms,Boolean functions,heuristic programming",
Building block filtering and fixing,1998,C.H.M. van Kernenade,"genetic algorithms,filtering theory,convergence,search problems",
On a multi-objective evolutionary algorithm and its convergence to the Pareto set,1998,G. Rudolph,"convergence,genetic algorithms,operations research",
Bitwise regularity and GA-hardness,1998,B. Leblanc,"genetic algorithms,functions,encoding,computational complexity",
The compact genetic algorithm,1998,G.R. Harik,"genetic algorithms,probability",
Theoretical analysis of the unimodal normal distribution crossover for real-coded genetic algorithms,1998,H. Kita,"genetic algorithms,normal distribution",
"Domino convergence, drift, and the temporal-salience structure of problems",1998,D. Thierens,"computational complexity,genetic algorithms,fluctuations",
The use of cultural algorithms with evolutionary programming to guide decision tree induction in large databases,1998,R. Reynolds,"learning (artificial intelligence),knowledge acquisition,very large databases,genetic algorithms,decision theory,trees (mathematics),divide and conquer methods,inference mechanisms",
Local evolutionary search enhancement by random memorizing,1998,H.-M. Voigt,"spectroscopy computing,genetic algorithms,measurement by laser beam,calibration,search problems,visible spectrometers",
Selection pressure and performance in spatially distributed evolutionary algorithms,1998,J. Sarma,"genetic algorithms,distributed algorithms",
More distance functions for order-based encodings,1998,S. Ronald,genetic algorithms,
Understanding evolutionary computing: a hands on approach,1998,T.D. Collins,"genetic algorithms,system monitoring,search problems",
Shared memory based cooperative coevolution,1998,N. Puppala,"genetic algorithms,cooperative systems,software agents",
A new evolutionary algorithm inspired by the selfish gene theory,1998,F. Corno,genetic algorithms,
An object-based evolutionary algorithm: the nesting solution,1998,K. Ratanapan,"object-oriented programming,genetic algorithms,operations research",
A hybrid genetic knowledge-integration strategy,1998,Ching-Hung Wang,"knowledge engineering,genetic algorithms,brain,medical diagnostic computing,medical expert systems,pattern classification",
Population management for automatic design of algorithms through evolution,1998,R. Olsson,"automatic programming,genetic algorithms,recursive functions",
A new evolutionary programming approach based on simulated annealing with local cooling schedule,1998,Hyeon-loong Cho,"genetic algorithms,simulated annealing,programming,scheduling,planning (artificial intelligence),search problems,travelling salesman problems,functional analysis",
Revisiting the GEMGA: scalable evolutionary optimization through linkage learning,1998,S. Bandyopadhyay,"genetic algorithms,learning (artificial intelligence),computational complexity,search problems",
Adding memory to XCS,1998,P.L. Lanzi,"pattern classification,convergence,learning (artificial intelligence),genetic algorithms",
The lightweight genetic search algorithm: an efficient genetic algorithm for small search range problems,1998,Chun-Hung Lin,"genetic algorithms,search problems,mathematical operators,computational complexity",
Embracing premature convergence: the Hypergamous Parallel Genetic Algorithm,1998,I.K. Evans,"convergence,genetic algorithms,parallel algorithms,search problems",
A hybrid method of differential evolution with application to optimal control problems of a bioprocess system,1998,Ji-Pyng Chiou,"optimal control,convergence,genetic algorithms,biotechnology,biocontrol,process control",
The evolution of size in variable length representations,1998,W.B. Langdon,"search problems,genetic algorithms,simulated annealing,programming theory,trees (mathematics),mathematical operators,competitive algorithms,variable length codes",
A dynamic load balancing approach using genetic algorithm in distributed systems,1998,Seong-hoon Lee,"resource allocation,distributed algorithms,message passing,genetic algorithms",
New measurement capabilities of the NRC travelling standard program,1998,R. Arseneau,"transfer standards,volt-ampere meters,wattmeters,calibration,reactive power,power measurement",
"Evaluation of 100 ampere, 100 kHz transconductance amplifiers",1998,D.T. Hess,"operational amplifiers,electric current measurement,measurement standards,calibration,measurement uncertainty,frequency response,measurement errors,harmonic distortion",
A set of waveguide primary thermal noise standards and related calibration systems for the frequency range 8.2-40 GHz,1998,J. Achkar,"transfer standards,thermal noise,electric noise measurement,microwave measurement,millimetre wave measurement,calibration,rectangular waveguides,frequency response",
"International comparison of noise-temperature measurements at 2, 4, and 12 GHz",1998,J. Randa,"transfer standards,thermal noise,microwave measurement,radiometers,measurement uncertainty,electric noise measurement",
Improved interferometric method to measure near-carrier AM and PM noise,1998,E. Rubiola,"electric noise measurement,microwave measurement,1/f noise,flicker noise,radiowave interferometry,thermal noise,correlation methods,microwave amplifiers",
Developments in coaxial power standards at NPL,1998,J.T. Ascroft,"measurement standards,power measurement,calorimeters,microwave measurement,coaxial cables,measurement uncertainty",
Experimental noise sources in the NIST watt balance,1998,R.L. Steiner,"constants,balances,measurement uncertainty,mass measurement,measurement standards,measurement errors",
Progress towards a precision measurement of the helion magnetic moment in Bohr magnetons,1998,J.L. Flowers,"nuclear magnetic moment,gyromagnetic ratio,Zeeman effect,proton magnetic moment,constants,nuclear magnetic resonance,optical pumping,helium neutral atoms",
Measurement of the 2/sup 3/P/sub 0/-2/sup 3/P/sub 1/ helium fine structure interval,1998,F. Minardi,"constants,fine structure,metastable states,atomic beams,helium neutral atoms,Lamb shift,relativistic corrections,Doppler shift",
Realisation of Croatian electromagnetic prototype of the kilogram,1998,V. Bego,"mass measurement,balances,measurement standards",
Low permeability reference standards with improved high magnetic field strength performance,1998,M.J. Hall,"magnetic permeability measurement,measurement standards,magnetic particles,calibration,iron,filled polymers,ferromagnetic materials",
Optimization by hybridization of a genetic algorithm with constraint satisfaction techniques,1998,N. Barnier,"genetic algorithms,constraint theory,combinatorial mathematics",
A hard problem for genetic algorithms: finding cliques in Keller graphs,1998,J. Marconi,"genetic algorithms,graph theory,computational complexity",
Learning fuzzy modelling through genetic algorithm for object recognition,1998,R. Soodamani,"object recognition,computer vision,learning (artificial intelligence),feedback,generalisation (artificial intelligence),fuzzy systems,genetic algorithms",
Evolutionary training of behavior-based self-organizing map,1998,A.S. Nissinen,"self-organising feature maps,probability,time series,genetic algorithms,learning (artificial intelligence)",
Function optimization in nonstationary environment using steady state genetic algorithms with aging of individuals,1998,A. Ghosh,"genetic algorithms,simulation",
Genetic algorithms for analogical mapping,1998,B. Tessem,"case-based reasoning,genetic algorithms",
Dispersed generation planning using improved Hereford Ranch algorithm,1998,J.O. Kim,"electric power generation,performance index,minimisation,genetic algorithms,power system planning",
Multiobjective evolutionary path planning via fuzzy tournament selection,1998,G. Dozier,"path planning,inference mechanisms,fuzzy systems,optimisation",
A genetic minimax game-playing strategy,1998,Tzung-Pei Hong,"genetic algorithms,trees (mathematics),minimax techniques,tree searching,computer games,games of skill",
Ultrahigh resolution DC magnetic field measurements using microfabricated fluxgate sensor chips,1998,T.M. Liakopoulos,"magnetic sensors,microsensors,fluxgate magnetometers,magnetic field measurement,micromachining,ultraviolet lithography,coils",
New method of digital fringe signal processing in an absolute gravimeter,1998,T. Tsubokawa,"gravimeters,measurement standards,Michelson interferometers,geophysical signal processing,finite difference methods,measurement uncertainty",
Subnanometer precision in gauge block measurements,1998,A. Titov,"length measurement,measurement standards,light interferometry,measurement uncertainty,measurement by laser beam,Michelson interferometers",
Enhanced evolutionary programming for function optimization,1998,B.L. Wu,"convergence of numerical methods,optimisation,function evaluation",
Traceability and uncertainty of field-strength measurements,1998,J. Glimm,"transfer standards,calibration,field strength measurement,electromagnetic compatibility,measurement uncertainty",
Assessment of field uniformity in a GTEM cell using a novel non-invasive scanning positioning system,1998,R.J. Rycroft,"anechoic chambers (electromagnetic),field strength measurement,position control,electromagnetic compatibility,calibration,measurement standards,computerised control,laboratory techniques",
Reinforcement distribution for fuzzy classifiers: a methodology to extend crisp algorithms,1998,A. Bonarini,"learning (artificial intelligence),pattern classification,fuzzy set theory",
Nonperturbing electric field sensor for near field measurement,1998,F. Cecelja,"electric field measurement,fibre optic sensors,electro-optical devices,polarimetry,calibration",
Comparison of dipole antenna properties calculated by assuming a sinusoidal current distribution with properties calculated using method of moments,1998,M.J. Salter,"dipole antennas,method of moments,current distribution,calibration,baluns,antenna testing,S-parameters,antenna theory",
Thermoelectric transfer difference of thermal converters measured with a Josephson source,1998,C.J. Burroughs,"transfer standards,voltage measurement,superconductor-normal-superconductor devices,measurement uncertainty,convertors,waveform analysis",
Single-flux-quantum counters for advanced Josephson primary voltage standards,1998,M.S. Pambianchi,"measurement standards,voltage measurement,superconducting logic circuits,flip-flops",
The scout algorithm to explore unknown spaces,1998,F. Abbattista,"optimisation,algorithm theory,search problems",
Superconductor digital-to-analog converter based on processing of SFQ pulses,1998,V.K. Semenov,"digital-analogue conversion,measurement standards,voltage measurement,superconducting integrated circuits,frequency synthesizers",
The quantum roulette noise thermometer,1998,L. Hao,"SQUIDs,superconducting device noise,thermometers,temperature scales,high-temperature superconductors",
GA-based approaches for finding the minimum reference set for nearest neighbor classification,1998,T. Nakashima,"genetic algorithms,pattern classification,combinatorial mathematics",
Toward a parallel genetic algorithm approach based on collective intelligence for combinatorial optimization problems,1998,F. Hidrobo,"genetic algorithms,parallel algorithms,cooperative systems,combinatorial mathematics",
Knowledge acquisition for target capture,1998,R.J. Stonier,"knowledge acquisition,fuzzy control,genetic algorithms,mobile robots,robot kinematics,learning (artificial intelligence)",
Simulated autonomous agents utilizing instincts and behavior learning: Orgs in Orgland,1998,G. Chrysanthakopoulos,"software agents,unsupervised learning,planning (artificial intelligence)",
Analysis of NK-xor landscapes,1998,C.H.M. van Kemenade,genetic algorithms,
On the effectiveness of evolutionary search in high-dimensional NK-landscapes,1998,P. Merz,genetic algorithms,
Uneven allocation of membership functions for hierarchical fuzzy modeling using genetic algorithm,1998,K. Tachibana,"genetic algorithms,fuzzy neural nets",
Evolutionary algorithms for constructing linguistic rule-based systems for high-dimensional pattern classification problems,1998,T. Nakashima,"pattern classification,genetic algorithms,expert systems,computational linguistics",
On solving fuzzy constraint satisfaction problems with genetic algorithms,1998,R. Kowalczyk,"genetic algorithms,constraint handling,fuzzy logic",
A reactive tabu search for service restoration in electric power distribution systems,1998,S. Toune,"power system restoration,genetic algorithms,combinatorial mathematics,power engineering computing",
"Population initialization in the context of a biased, problem-specific mutation",1998,J. Arabas,"genetic algorithms,telecommunication networks,telecommunication computing,network synthesis,CAD,mathematical operators",
Depth-dependent crossover for genetic programming,1998,T. Ito,"genetic algorithms,programming,mathematical operators,software performance evaluation",
Removal bias: a new cause of code growth in tree based evolutionary programming,1998,T. Soule,"genetic algorithms,programming theory,mathematical operators,variable length codes,trees (mathematics)",
Competing crossovers in an adaptive GA framework,1998,A.E. Eiben,"genetic algorithms,adaptive systems,mathematical operators",
Duplicate genotypes in a genetic algorithm,1998,S. Ronald,"genetic algorithms,convergence,losses",
The simplex method and evolutionary algorithms,1998,S. Smith,"genetic algorithms,convergence,function evaluation,mathematical operators,search problems",
Fast evolutionary programming through search momentum and multiple offspring strategy,1998,Hyeon-Joong Cho,"genetic algorithms,programming,convergence,search problems,software performance evaluation,vectors",
Your brains and my beauty: parent matching for constrained optimisation,1998,R. Hinterding,"constraint theory,genetic algorithms,nonlinear programming",
The effectiveness of co-mutation in evolutionary algorithms: the /spl Mscr//sub ijn/ operator,1998,I. De Falco,"genetic algorithms,mathematical operators",
A new metric function and harmonic crossover for symmetric and asymmetric traveling salesman problems,1998,K. Tagawa,"travelling salesman problems,mathematical operators,symmetry,genetic algorithms,Hamming codes,search problems",
A study on the effect of multi-parent recombination in real coded genetic algorithms,1998,S. Tsutsui,genetic algorithms,
Schema representation in virus-evolutionary genetic algorithm for knapsack problem,1998,N. Kubota,"operations research,genetic algorithms",
Operator-probability adaptation in a genetic-algorithm/heuristic hybrid for optical network wavelength allocation,1998,M.C. Sinclair,"genetic algorithms,probability,heuristic programming,optical fibre networks,telecommunication computing,telecommunication network routing",
There's still plenty of room at the bottom ? And at the Top,June 2017,Tsu-Jae King Liu,"integrated circuits,MOSFET",
"Transparent amorphous oxide semiconductors: Materials design, electronic structure, and device applications",June 2017,Hideo Hosono,"amorphous semiconductors,electron mobility,electronic structure,X-ray analysis",
Evolution of photonic integrated circuits,June 2017,John E. Bowers,"epitaxial growth,III-V semiconductors,indium compounds,integrated optics,silicon-on-insulator",
Dimensionality matters: Electronic transport in 2D layered materials,June 2017,Joerg Appenzeller,"carrier mobility,electron transport theory,field effect transistors,semiconductor materials",
Effective n-type doping of monolayer MoS<inf>2</inf> by AlO<inf>x</inf>,June 2017,Connor J. McClellan,"aluminium compounds,contact resistance,field effect transistors,interface states,molybdenum compounds,monolayers,semiconductor device models,semiconductor doping",
Double bilayer graphene-WSe<inf>2</inf> resonant tunneling heterostructures with high interlayer current densities and peak-to-valley ratios,June 2017,G. W. Burg,"current density,graphene devices,resonant tunnelling devices,tungsten compounds",
First demonstration of band-to-band tunneling in black phosphorus,June 2017,Peng Wu,"field effect transistors,phosphorus,semiconductor device manufacture",
Black phosphorus field-effect transistor with record drain current exceeding 1 A/mm,June 2017,Mengwei Si,"field effect transistors,MOSFET,phosphorus",
Toward realization of Ga<inf>2</inf>O<inf>3</inf> for power electronics applications,June 2017,Gregg Jessen,"gallium compounds,power semiconductor switches",
"Gate-recessed, laterally-scaled ��-Ga<inf>2</inf>O<inf>3</inf> MOSFETs with high-voltage enhancement-mode operation",June 2017,Kelson Chabak,"current density,electric breakdown,gallium compounds,MOSFET,semiconductor doping,silicon compounds,wide band gap semiconductors",
Demonstration of Ga<inf>2</inf>O<inf>3</inf> trench MOS-type Schottky barrier diodes,June 2017,K. Sasaki,"gallium compounds,isolation technology,leakage currents,MIS devices,power semiconductor diodes,Schottky diodes,thermionic emission",
Radiation hardness of Ga<inf>2</inf>O<inf>3</inf> MOSFETs against gamma-ray irradiation,June 2017,Man Hoi Wong,"gallium compounds,interface states,MOSFET,passivation,radiation hardening (electronics)",
Temperature dependent characterization of Ga<inf>2</inf>O<inf>3</inf> MOSFETs with Spin-on-Glass source/drain doping,June 2017,Ke Zeng,"temperature dependent characterization,MOSFET,spin-on-glass source/drain doping,access resistance,source resistance,ultrashallow junctions,Ga2O3",
E-mode RF transistors and circuit model using CVD MoS<inf>2</inf>,June 2017,A. Sanne,"chemical vapour deposition,mixed analogue-digital integrated circuits,molybdenum compounds,S-parameters",
Dedicated communication protocols and network interfaces in time synchronization cyber security in complex distribution smart grid,September 2016,Robert Czechowski,"power engineering computing,power system security,smart power grids,synchronisation",
Contact engineering of monolayer CVD MOS<inf>2</inf> transistors,June 2017,Abdullah Alharbi,"chemical vapour deposition,contact resistance,molybdenum compounds,monolayers,semiconductor device manufacture,semiconductor doping,transistors,work function",
